Comment,Designator,Footprint,LCSC
Screw_Terminal_01x02_green,"J1,J2,J3,J4,J5,J6,J7,J8",0_connectors:TerminalBlock_bornier-2_P5.08mm-green,C395849
Screw_Terminal_01x02_blue,"J9,J10,J11,J12,J13,J14,J15,J16",0_connectors:TerminalBlock_bornier-2_P5.08mm-blue,C395882
